index,account_length,total_day_charge,total_eve_minutes,total_night_charge,total_intl_charge,customer_service_calls,churn
134,163,33.49,202.6,9.29,2.46,1,0
135,91,22.08,173.3,11.12,3.02,3,0
136,75,29.89,217.5,10.69,1.43,5,0
137,91,34.53,210.1,8.8,3.24,3,0
138,127,31.14,126.8,11.85,3.02,1,0
139,113,34.85,152,7.14,2.75,2,0
140,110,25.25,276.4,8.71,3.35,1,0
141,120,34.05,220.4,11.42,2.84,0,0
142,157,32.74,195.5,4.94,1.84,3,0
143,103,41.91,195.5,9.02,3.16,1,0
144,117,28.41,177.5,11.22,3.81,2,1
145,140,39.42,160.1,4.97,3.86,3,0
146,127,24.94,203.5,9.15,3.7,1,0
147,83,46.16,216.3,5.45,3.16,1,0
148,121,30.86,218.4,7.27,2.3,1,0
149,145,43.81,162.1,12.91,3,2,0
150,113,32.95,221.4,7.75,2.86,1,0
151,117,17.48,206.7,13.46,2.73,1,0
152,65,31.94,157.6,10.23,2.03,1,0
153,56,38.42,248.5,6.32,1.86,1,0
154,96,44.27,146,12.13,3.11,5,0
155,151,30.38,292.1,11.97,2.65,0,0
156,83,57.36,227.4,6.93,4.27,0,1
157,139,26.79,247,11.66,3.7,0,0
158,6,31.21,256.7,8.04,2.75,1,0
159,115,24.16,183.4,7.42,2.59,1,0
160,87,23.17,172.2,6.19,1.92,0,0
161,141,36.91,241.5,11.41,3.24,0,0
162,141,31.88,241.4,10.33,2.84,3,0
163,62,16.81,135.4,10.65,3.29,1,0
164,146,35.07,148.6,7.52,1.65,1,0
165,92,41.33,213.8,10.29,3.27,2,0
166,185,32.27,163.3,11.92,2.03,1,0
167,148,34.34,243.2,11.76,2.94,1,0
168,94,28.92,193.3,4.77,3.46,1,0
169,32,39.25,187.4,6.93,1.7,0,0
170,68,40.31,223.5,4.38,3.56,1,0
171,64,30.96,169.7,7.41,2.86,2,0
172,25,20.28,211.5,12.1,2.84,3,0
173,65,19.86,178.9,8.21,3.81,1,0
174,179,37.26,149.4,11.01,1.65,0,0
175,94,42.94,169,7.69,3,2,0
176,62,25.01,190.4,8.78,3.29,0,0
177,127,34.36,229.4,8.78,3.11,2,0
178,116,29.5,194.1,9.36,4.37,3,0
179,70,39.46,292.3,9.05,0,3,0
180,94,33.51,214.5,12.7,2.57,4,0
181,126,9.89,138.7,6.16,3.21,5,1
182,67,19.65,237.7,7.65,2.67,2,0
183,19,31.64,254.3,9.63,3.94,2,0
184,170,44.18,245,6.05,2.27,3,0
185,73,36.43,268.5,10.85,2.92,1,0
186,106,26.98,64.3,8.93,2.75,1,0
187,93,46.17,229.4,3.48,2.94,2,0
188,164,27.3,163.2,8.42,2.43,1,0
189,51,39.51,187.4,10.4,2.46,1,0
190,107,22.75,180.5,5.05,2.4,0,0
191,130,30.07,90.7,10.71,2.57,1,0
192,80,35.68,195.1,9.37,2.38,2,0
193,94,23.38,203.2,6.75,3.62,0,0
194,118,49.22,166.6,5.36,2.57,1,0
195,117,33.68,177,8.12,1.84,1,0
196,78,25.45,182.2,11.77,2.62,0,0
197,208,55.51,176.3,8.18,2.89,2,1
198,131,49.79,199.7,11.49,3.73,4,1
199,63,14.11,177,11.06,3.51,0,0
200,53,24.77,220.5,11.25,3.54,3,0
201,62,30.99,328.2,11.03,3.02,2,0
202,97,37.06,184,10.82,1.73,3,0
203,105,23.9,178.6,9.76,1.84,2,0
204,157,25.96,257.5,8.91,2.54,1,0
205,66,18.14,209.8,8.57,3.27,1,0
206,122,41.45,83.9,8.09,3.7,2,0
207,38,33.05,186.7,10.05,2.92,3,0
208,106,36.36,151.9,11.7,3.29,3,0
209,99,36.92,246.7,10.17,4.27,3,0
210,99,40.99,155.6,8.47,3.13,1,0
211,144,34.6,247.6,8.74,3.21,0,0
212,82,26.38,244.5,5.51,2.89,1,0
213,86,28.49,113,11.11,3.29,1,0
214,70,38.54,228.1,3.29,4.75,2,1
215,93,30.48,178.6,10.13,3.11,3,0
216,93,25.74,186.4,7.76,2.94,0,0
217,120,30.6,224.2,11.94,1.27,3,0
218,136,42.53,267.1,6.8,3.51,1,1
219,106,37.91,110.1,8.49,1.92,0,0
220,81,31.21,152.6,9.55,3.29,3,0
221,127,28.22,174.5,11.02,2.75,1,0
222,65,23.14,272.9,9.91,1.19,1,0
223,35,25.38,242.2,7.84,2.4,2,0
224,88,11.12,168.2,10.62,3.73,2,0
225,65,36.28,234.5,11.25,0.73,1,0
226,123,35.17,244.7,9.97,2.08,3,0
227,126,31.65,189.6,3.44,2.59,2,0
228,104,47.63,220.5,6.16,3.59,4,0
229,45,33.42,313.2,7.35,3.21,0,0
230,93,53.04,129.4,9.79,2.84,0,1
231,63,33.83,291.3,8.89,2.97,1,0
232,100,34.53,217,8.14,3.65,3,0
233,53,28.7,220.3,6.94,2.94,0,0
234,92,29.43,240.3,10.49,2.43,1,0
235,139,22.85,211.3,8.71,2.75,5,1
236,110,34.44,118.8,10.57,2.43,2,0
237,110,12.67,200.8,8.65,2.65,3,0
238,215,14.21,120.9,10.2,2.89,0,0
239,73,32.67,168.6,6.29,2.54,1,0
240,138,37.43,88.3,8.79,3.48,0,0
241,137,22.97,134.1,10.04,3.32,2,1
242,36,43.08,182.4,12.41,2.27,1,0
243,85,38.25,176.9,8.74,1.92,3,0
244,108,33.75,267.8,15.97,2.54,0,1
245,22,18.75,166.5,9.1,2.57,0,0
246,107,10.2,102.2,11.78,3,0,0
247,51,36.52,149.7,12.75,2.75,0,0
248,94,30.91,202.4,11.07,2.48,4,0
249,119,26.18,278,10.28,3.19,2,0
250,33,26.76,117.9,12.56,3.75,4,1
251,106,35.34,172,8.63,3.89,4,0
252,82,35.19,232.9,7.76,2.46,3,0
253,86,20.23,230,10.66,2.57,0,0
254,97,24.43,273,8.02,2.94,0,0
255,106,28.2,216.5,7.79,3.81,4,0
256,108,23.56,172.3,10.42,2.65,1,0
257,114,14.4,249.9,8.7,3.92,1,0
258,92,10.64,180.6,9.98,2.81,1,1
259,59,26.38,235.3,7.62,2.35,1,0
260,24,28.03,209.3,10.4,1.81,1,0
261,151,22.87,143.1,10.08,4.16,1,0
262,117,24.36,211.3,8.33,3.11,1,0
263,78,28.61,221.2,10.85,3.38,1,0
264,155,44.61,194.6,6.59,2.24,2,0
265,114,35.05,260,13.12,3.08,1,0
266,114,38.39,193,10.46,2.27,4,0
267,119,23.51,170.5,11.88,3.65,3,0
268,64,16.05,136.2,6.63,1.22,0,0
269,118,27.2,175.4,8.32,2.67,2,0
270,101,35.12,224.9,11.25,3.94,0,0
271,117,22.9,180,9.04,2.08,1,0
272,49,36.45,235.2,9.28,2.16,3,0
273,139,32.78,234.4,9.14,3.51,3,0
274,92,25.69,194.8,10.76,2.7,1,0
275,83,37.64,231.8,5.51,2.65,3,0
276,148,37.21,208,9.15,3,0,0
277,144,32.27,123.4,9.64,1.76,2,1
278,131,32.76,225.9,11.44,2.94,2,0
279,146,34.75,219.1,10.02,2.84,3,0
280,143,29.29,174,8.47,3.51,2,0
281,81,33.73,210.9,8.7,2.81,2,0
282,48,35.99,159.9,6.48,3.29,1,0
283,86,37.67,288.4,10.81,2.43,1,0
284,71,33.64,181.5,12.66,1.81,3,0
285,145,25.08,175.7,11.34,4.21,2,0
286,137,35.09,128,8.75,2.38,2,0
287,137,35,209.3,13.05,3.92,2,0
288,167,35.29,132.4,11.48,3.81,0,0
289,89,51.66,260.9,14.04,1.43,1,1
290,199,39.2,219.4,13.47,2.16,0,0
291,132,16.92,129.1,5.63,2.62,0,0
292,94,30.11,194,6.6,1.59,1,0
293,96,29.36,120.1,9.72,2.78,5,1
294,96,29.36,133.4,11.68,2.65,1,0
295,166,34.71,179.9,9.76,2.57,1,0
296,74,14.57,247.7,6.41,2.73,2,0
297,36,26.79,184.3,10.82,3.21,0,0
298,113,36.64,218.7,9.32,1.78,4,0
299,94,30.86,199.9,12.95,1.78,1,0
300,67,29.19,110.4,8.79,3.21,2,0
301,127,45.32,264.8,9.32,1.59,1,1
302,121,28.97,350.5,13.37,3.02,0,1
303,158,26.86,292.5,10.85,2.46,1,0
304,136,15.64,253.6,9.63,2.78,1,0
305,196,39.78,249.5,7.79,2.46,2,0
306,113,46.26,268.5,9.62,2.3,1,1
307,122,50.39,214.8,6.03,3.08,4,1
308,112,33.05,190.3,8.25,3.08,0,0
309,209,38.62,258.4,8.26,2.4,3,0
310,62,42.28,220,11.96,3.56,1,1
311,110,40.17,195.9,8.26,2.62,1,0
312,16,34.95,169.5,9.9,2.94,0,0
313,73,16,280.3,9.23,2.65,0,0
314,128,21.28,205.4,11.45,5.1,0,0
315,39,10.27,306.2,5.58,3.35,1,0
316,103,20.57,270.4,7.22,2.08,2,0
317,119,20.03,256.8,6.64,2.05,3,0
318,173,39.51,211.9,12.29,1.35,3,0
319,128,38,188.8,6.97,2.54,2,1
320,86,29.97,259.2,12.93,1.67,0,0
321,114,21.28,177.8,10.46,3.48,1,0
322,104,23.58,256.9,10.57,2.7,0,0
323,148,14.67,246.6,11.32,3.05,1,0
324,129,35.19,154.9,11.03,3.62,3,0
325,100,10,219.5,6.85,1.92,0,0
326,121,11.68,209.2,8.88,3.08,1,0
327,143,40.66,235.5,7.03,2.57,1,0
328,76,33.71,217.1,8.48,3.38,0,0
329,158,34.88,240.6,3.59,3.89,0,0
330,116,32.66,312.9,5.86,2.13,3,0
331,54,46.34,248.7,8.88,2.57,1,1
332,86,21.81,197.1,6.23,3.29,7,1
333,108,28.83,264.1,9.28,2.51,0,0
334,66,34.22,152.8,10.49,2.03,1,0
335,151,36.5,138.5,7.61,2.32,1,0
336,99,28.76,271.5,7.66,2.86,0,0
337,55,33,176.6,13.63,1.89,2,0
338,77,39.75,266.5,9.57,2.05,2,0
339,78,38.27,199.2,7.9,3.94,0,0
340,89,36.21,176.6,11.82,2.46,1,1
341,101,31.26,255.9,12.38,2.92,1,0
342,44,37.71,161.7,10.25,3.78,0,0
343,98,10.98,176.1,11.02,0,2,0
344,64,26.28,83.4,7.47,3.59,1,0
345,141,44.23,179.2,6.08,1.94,3,0
346,81,27.47,123,11.76,3.29,1,0
347,162,37.5,155.2,8.4,2.84,1,0
348,83,26.5,162.3,5.74,3.54,3,0
349,100,18.19,105.7,10.94,3.46,4,1
350,59,31.03,204.7,10.35,3.05,4,0
351,179,37.42,234.3,10.68,2.73,4,0
352,79,25.87,177.2,4.34,1.43,1,0
353,117,30.86,205.1,9.18,3.97,2,0
354,64,40.15,218.6,8.73,3.56,2,1
355,31,28.24,79.3,9.62,3.43,1,0
356,124,41.58,188.8,9.27,3.05,1,0
357,122,22.81,227.3,5.51,2.3,2,0
358,37,25.45,211.1,5.14,2.48,1,0
359,90,25.52,264.7,8.03,1.57,1,0
360,159,43.71,312.2,8.24,2.38,1,1
361,148,21.15,179.7,11.39,3.05,0,0
362,39,24.09,232.3,9.99,3.24,1,0
363,77,39.1,103.2,13.93,3.05,2,0
364,194,27.59,213.7,8.64,2.94,0,0
365,154,59.64,216.5,11.43,2.73,1,1
366,112,32.86,264.1,5.79,2.46,4,0
367,45,13.29,253.4,11.48,4.86,1,0
368,132,14.18,232.2,6.6,2.05,1,0
369,128,33.25,267.8,7.42,4.32,0,0
370,135,34.31,225,9.2,2.78,1,0
371,56,33.49,222.8,10.14,2.86,2,0
372,151,37.06,114.4,12.11,3.35,0,1
373,32,28.02,229.9,7.53,4,2,0
374,90,30.46,210.7,12.46,2.48,2,0
375,87,36.38,180,6.05,2.86,0,0
376,138,28.99,118.2,8.46,3.02,2,0
377,79,34.97,214.5,10.17,1.81,1,0
378,95,28.14,286.2,8.95,3.11,1,1
379,127,37.57,160.7,10.49,1.84,2,0
380,137,41.16,191,9.84,3.97,3,0
381,97,25.77,155.4,10.8,3.97,1,0
382,149,29.95,145,11.23,1.54,0,0
383,117,33.32,322.7,10.15,1,1,0
384,84,27.12,247.1,8.46,1.94,2,0
385,137,39.13,220.4,9.21,2.89,4,0
386,99,24.94,274,14.46,2.4,3,0
387,54,35.79,204.5,5.75,2.3,1,0
388,85,17.34,270.2,6.67,2.89,1,0
389,150,21.42,238.5,12.83,2.75,3,0
390,43,28.63,243.8,9.66,3,1,0
391,35,17.95,258.2,9.59,2.35,0,0
392,98,35.11,176.2,10.48,3.35,5,0
393,112,36.91,205.2,8.36,2.54,2,0
394,16,39.03,205.7,7.48,2.92,0,1
395,98,47.31,93.4,4.84,2.62,0,0
396,84,23.56,199,9.18,2.11,0,0
397,94,39.85,279.3,10.54,0.54,1,1
398,84,30.86,130.7,8.39,2.3,1,0
399,66,28.44,230,8.63,2.86,1,1
400,98,20.57,218.9,10.2,3.24,1,0
401,74,37.59,110.8,10.8,2.86,0,0
402,96,24.79,192.2,7.43,2.67,1,0
403,119,37.88,163.2,7.23,3.02,1,0
404,73,31.18,242,9.06,2.03,4,0
405,92,44.93,160.9,8.94,2.51,0,0
406,21,24.82,109.7,11.13,1.84,0,0
407,122,26.71,184.9,8.87,2.3,4,1
408,133,21.64,251.3,6.08,2.78,1,0
409,145,31.94,197,7.52,1.3,2,0
410,25,30.4,141.2,9.14,2.27,2,0
411,64,16.52,186.2,8.5,2.81,2,0
412,85,44.17,242.3,7.6,1.46,0,0
413,126,43.61,199.5,8.47,1.89,3,0
414,76,28.82,124,9.87,2.7,0,0
415,113,40.75,282.9,10.73,2.35,2,1
416,224,29.16,160,9.56,1.35,1,1
417,117,40.78,174.8,9.43,2.65,0,0
418,128,24.19,194.8,10.77,4.32,1,0
419,115,31.3,327,9.56,2.03,2,0
420,141,35.17,264.4,7.73,2.51,2,0
421,51,44.18,176.2,3.47,4.13,1,0
422,100,34.65,283.1,8.88,3.38,0,0
423,96,42.3,140.3,11.86,2.78,3,0
424,112,37.67,130.2,9,3.05,1,0
425,129,32.79,185.5,9.23,2.94,1,0
426,163,20.81,113.4,8.11,3.38,1,0
427,67,17.83,216.3,9.78,2.59,1,0
428,140,29.44,196.8,9.42,3.02,3,0
429,49,20.3,273.3,9.65,3.35,2,0
430,46,42.55,260.6,8.78,3.59,2,1
431,148,30.31,282.6,8.15,3.08,1,0
432,112,41.38,182.1,11.66,3.46,1,0
433,78,26.35,175.3,7,3.19,2,0
434,61,49.08,203.8,9.14,2.32,0,0
435,58,40.87,118.9,7.39,3.02,1,0
436,155,32.35,301.3,9.66,2.16,1,0
437,100,47.26,176.7,9.88,2.24,0,1
438,113,26.35,330.6,8.52,3.65,1,0
439,81,26.1,197.6,8.93,1.7,2,0
440,135,46.48,154,11.06,3.32,1,0
441,99,26.4,265.7,6.56,3.35,0,0
442,59,22.63,221.2,5.92,1.84,1,0
443,135,41.96,187.8,6.95,3.4,1,0
444,85,28.12,196,15.71,2.59,2,0
445,70,10.12,257.2,9.37,3,0,0
446,88,23.51,236,8.06,2.59,3,0
447,55,48.74,134.4,8.68,1.86,2,0
448,75,19.94,201.1,4.86,3.29,1,0
449,79,44.93,202.8,7.8,1.7,4,0
450,85,21.74,271.2,9.1,3.38,0,0
451,86,38.34,246.3,11.06,2.65,0,0
452,91,25.33,245.3,11.7,2.24,0,0
453,149,33.81,274,8.58,3.86,1,0
454,97,43.59,273.9,10.02,3,1,1
455,88,45.02,245.4,7.22,4,1,1
456,60,16.69,180.5,10.06,2.51,2,0
457,54,27.17,264,5.21,2.62,2,0
458,11,32.4,220.1,8.11,1.62,3,0
459,109,31.28,120.4,6.92,2.97,0,0
460,90,44.51,220.6,6.15,2.59,1,0
461,115,25.14,228.4,13.49,2.59,3,0
462,144,18.09,108.1,9.38,2.73,1,0
463,91,22.73,195.3,12.62,1.59,0,0
464,105,32.9,220.2,12.26,2.3,0,0
465,71,30.29,167.8,8.19,3.67,3,1
466,132,38.45,181.6,11.65,2.84,3,1
467,112,28.97,200.2,11.62,3.13,1,0
468,86,12.05,166.7,11.02,3,3,0
469,41,33.05,254.9,7.21,4.64,2,0
470,44,40.85,164.6,10.83,2.86,1,0
471,78,12.75,248.7,7.92,2.57,3,0
472,149,11.75,136.3,8.18,1.7,1,0
473,72,16.42,315.4,7.35,1.67,4,1
474,139,36.48,235.1,7.33,4,0,0
475,74,25.25,146.5,13.01,2.67,3,0
476,50,43.88,161.4,10.13,3.16,1,0
477,141,25.45,162.5,9.91,2.05,3,0
478,140,25.47,164.4,13.26,2.19,1,0
479,99,32.37,158.1,12.22,3.02,2,0
480,166,30.84,253.8,5.05,3.13,1,0
481,124,25.69,187.4,11.49,1.43,1,0
482,74,26.47,173.7,11.58,2.19,0,0
483,117,25.48,256.1,9.57,3.59,2,0
484,85,37.79,231.5,10.06,2.97,3,0
485,36,25.4,131.8,5.97,1.81,0,0
486,102,39.75,221.6,6.61,3.46,0,0
487,76,34.71,292.6,10.99,2.84,0,0
488,165,41.29,209.8,10.28,0,1,0
489,130,25.57,230.5,8.38,3.32,1,0
490,78,35.51,252.4,12.61,3.46,0,0
491,55,32.62,256.1,9.17,3.86,1,1
492,92,22.22,260.6,10.99,2.54,2,1
493,129,20.33,278.7,11.85,1.59,2,0
494,18,46.51,114.6,11.28,2.21,1,0
495,161,26.54,180.3,8.08,3,2,0
496,93,30.38,178.6,5.71,2.16,2,0
497,144,30.18,287.4,8.12,3.21,2,0
498,75,35.92,105.6,7.92,2.62,4,1
499,95,29.78,244.4,3.41,2.03,1,0
500,126,19.43,190.3,10.82,3.4,3,0
501,124,42.74,225.1,11.34,2.03,1,0
502,93,36.87,207.4,9.98,4.73,1,1
503,109,36.92,145.5,12.63,2.51,0,0
504,80,35.07,154.9,11.86,3.35,0,0
505,41,27.08,125.9,11.79,3,1,0
506,136,24.33,236.6,10.25,3.08,2,0
507,92,26.18,329.8,12.96,1.51,3,1
508,143,31.72,222,10.57,3.13,1,0
509,118,29.04,199.5,7.64,2.59,5,1
510,193,21.08,202.9,9.23,3.32,1,0
511,73,33.71,279.3,6.58,4,3,0
512,62,29.38,204.8,10.84,2.46,2,0
513,30,36.96,213.8,10.22,1.78,0,0
514,60,45.2,215.8,4.86,3.78,0,1
515,148,15.91,193.8,6.52,4.73,1,0
516,96,16.69,307.2,8.21,2.05,2,0
517,52,36.5,158.6,5.55,2.54,2,0
518,87,28.59,224.7,7.63,3.48,1,0
519,41,34.49,153.8,5.11,2.43,3,0
520,112,44.44,154.5,5.89,3.13,1,0
521,88,12.46,161.4,10.78,2.21,4,1
522,122,43.13,229.2,8.57,2.48,7,0
523,61,7.65,151.3,6.88,2.65,2,0
524,87,39.32,171.7,3.05,3.51,1,0
525,176,8.06,167.8,7.34,2.84,2,0
526,30,38.66,182.5,8.63,3.38,0,0
527,95,6.95,133.4,11.89,3.21,0,0
528,46,21.22,157.3,8.97,2.32,2,0
529,100,11.65,337.1,9.23,3.27,0,0
530,47,27.8,203.1,10.44,2.11,2,0
531,77,27.71,219.1,10.5,1.81,2,0
532,98,36.33,253,9.35,2.89,2,0
533,125,34.22,42.2,5.66,1.46,1,0
534,67,52.77,66.5,11.09,2.48,4,0
535,194,8.23,281.1,9.83,4.91,1,0
536,128,29.1,145.7,8.86,3.78,1,0
537,190,28.31,183,5.44,2.3,0,0
538,165,36.82,190.8,10.11,3.35,0,0
539,59,18.33,216.6,9.79,2.67,2,0
540,47,24.02,168,5.11,2.11,1,0
541,150,35.68,158,6.39,1.78,0,0
542,152,40.38,253.4,11.93,3.83,9,1
543,26,39.87,216.5,8.62,0.95,3,0
544,79,17.53,243,3.44,3.29,3,0
545,95,22.02,248.9,12.06,3.21,1,0
546,69,47.57,248.7,7.69,2.27,2,1
547,95,23.26,200.8,6.02,2.78,5,1
548,31,17.02,246.3,11.48,1.59,0,0
549,121,40.31,205.6,8.85,2.73,4,0
550,111,29.38,183.1,7.15,2.13,4,1
551,157,38.17,200.7,5.25,3.11,2,0
552,44,48.98,258,8.66,2.75,3,1
553,61,13.29,195.9,4.86,2.73,2,0
554,65,25.28,259,6.73,3.43,2,0
555,74,33.08,119.9,7.9,3.54,2,0
556,123,27.12,303.8,10.21,3.24,0,0
557,58,33.07,213.7,10.65,2.57,1,0
558,74,29.6,251.1,11.59,2.24,2,1
559,125,22.41,136.7,13.87,2.08,2,0
560,80,27.3,237,11.03,2.89,1,0
561,53,24.96,310,8.04,1.94,0,0
562,99,34.12,264.2,7.77,2.46,1,0
563,99,24.75,98.3,10.39,2.94,1,0
564,66,39,257.4,10.42,2.16,2,0
565,97,35.87,189,5.54,1.27,3,0
566,75,20.66,271.4,11.19,3.05,2,0
567,85,36.72,188.2,6.62,0.97,2,0
568,108,49.81,160.6,6.48,2.7,2,0
569,133,37.59,264.9,7.6,4.16,2,1
570,51,30.86,196.9,8.42,2.78,1,0
571,186,12.63,177.3,13.33,3.92,2,0
572,44,10.59,275,6.24,2.92,1,0
573,64,38.86,248.5,7.52,2.43,3,0
574,44,38.78,276.5,12.59,2.67,2,1
575,114,52.68,200.3,8.26,3.83,1,0
576,92,34.32,226.8,9.79,3.7,3,0
577,110,25.47,180,6.3,3.16,2,0
578,90,31.25,229.7,6.48,2.08,1,0
579,72,31.74,335,8.42,4.46,1,0
580,113,35.6,347.3,11.07,2,1,1
581,171,37.94,183.2,6.79,2.75,3,0
582,104,27.91,155.4,7.6,2.89,1,0
583,165,25.59,193.1,14.02,2.78,1,0
584,104,39.81,293.1,8.28,2.65,0,1
585,110,9.4,164.7,9.03,2.75,1,0
586,90,37.71,203.8,9.71,2.27,1,0
